代码,2025-12_均价,2025-11_均价,2025-10_均价,2025-09_均价,2025-08_均价,2025-07_均价,2025-06_均价,2025-05_均价,2025-04_均价,2025-03_均价,2025-02_均价,2025-01_均价,2024-12_均价
300081,5.69,5.7,5.14,5.26,6.26,7.0,6.69,6.41,6.05,7.92,8.09,6.9,
300959,116.05,129.11,95.73,62.84,46.57,43.45,44.01,39.77,37.74,43.67,45.8,49.41,
688205,129.82,105.46,105.53,115.6,82.55,59.8,64.09,65.04,52.04,66.48,98.64,89.29,
301517,51.49,45.09,43.72,44.63,49.42,42.93,46.43,50.47,47.7,53.88,50.2,47.76,
301396,62.01,62.6,70.3,75.6,62.64,57.66,61.55,83.25,77.73,79.04,45.67,29.38,
301377,104.65,110.32,90.32,77.57,61.13,42.28,30.55,27.7,25.04,28.72,24.39,21.79,
688302,48.55,46.98,50.69,55.81,60.43,53.28,50.39,49.01,38.94,34.84,32.05,28.37,
300209,5.57,5.77,6.32,5.84,5.27,5.38,5.38,5.72,4.88,4.98,4.57,4.88,
300102,22.53,14.2,11.93,12.97,13.53,11.52,11.34,11.09,10.5,11.3,11.04,10.42,
300131,12.77,11.75,10.22,10.92,9.09,8.18,7.09,7.1,6.91,8.41,8.5,8.07,
300476,280.05,283.72,288.38,300.2,218.84,157.89,110.75,79.42,73.45,75.51,52.86,49.15,
300640,8.01,7.36,6.58,6.5,6.75,6.53,6.89,6.12,5.29,5.72,6.04,5.87,
688195,171.94,140.49,109.49,108.32,55.65,42.92,42.39,39.61,35.56,41.58,46.06,39.92,
301486,90.39,78.95,84.59,96.0,85.22,68.5,65.83,61.73,52.91,60.47,62.8,47.98,
300096,7.24,7.57,7.85,6.48,4.33,4.14,4.16,4.29,4.03,3.84,3.68,3.07,
002445,2.58,2.61,2.58,2.72,2.51,2.53,2.46,2.36,2.22,2.43,2.45,2.32,
603023,4.69,4.3,4.19,4.28,4.35,3.82,3.82,3.62,3.11,2.97,2.82,2.72,
603601,5.43,4.81,4.91,5.3,5.4,4.85,3.66,3.61,3.37,3.54,3.46,3.24,
605299,12.27,9.88,9.16,9.68,9.71,9.27,9.43,8.5,8.28,9.11,9.27,8.39,
002682,7.35,5.75,4.76,4.56,4.81,4.83,4.86,4.72,4.14,4.85,4.39,4.12,
003016,10.33,9.13,8.4,7.92,8.06,8.04,7.48,7.34,6.74,7.35,7.48,7.7,
600280,3.74,3.54,3.34,3.55,3.5,3.57,3.56,3.46,3.5,3.68,3.58,3.59,
001330,8.58,6.9,5.99,5.88,5.07,4.76,4.8,4.52,4.36,4.8,5.23,5.84,
600330,10.01,9.66,10.44,11.21,8.52,7.51,6.97,6.78,6.53,7.42,7.14,6.88,
